Kelas,Hari,Jam Ke,Waktu,Mata Pelajaran,Status
XII PPLG A,Kamis,10,14.30-15.15,MAT,Terjadwal
XII PPLG A,Kamis,11,15.30-16.15,KOSONG,Kosong
XII PPLG A,Kamis,12,16.15-17.00,KOSONG,Kosong
XII PPLG A,Jumat,1,08.15-08.45,MPP,Terjadwal
XII PPLG A,Jumat,2,08.45-09.15,MPP,Terjadwal
XII PPLG A,Jumat,3,09.15-09.45,BINDO,Terjadwal
XII PPLG A,Jumat,4,10.00-10.30,BINDO,Terjadwal
XII PPLG A,Jumat,5,10.30-11.00,BING,Terjadwal
XII PPLG A,Jumat,6,11.00-11.30,BING,Terjadwal
XII PPLG A,Jumat,7,12.30-13.00,BING,Terjadwal
XII PPLG A,Jumat,8,13.00-13.30,BING,Terjadwal
XII PPLG A,Jumat,9,13.30-14.00,KOSONG,Kosong
XII PPLG A,Jumat,10,14.00-14.30,KOSONG,Kosong
XII PPLG A,Jumat,11,14.45-15.15,KOSONG,Kosong
XII PPLG A,Jumat,12,15.15-15.45,KOSONG,Kosong
XII PPLG B,Senin,1,07.00-07.45,BK,Terjadwal
XII PPLG B,Senin,2,07.45-08.30,BK,Terjadwal
XII PPLG B,Senin,3,08.30-09.15,BING,Terjadwal
XII PPLG B,Senin,4,09.15-10.00,BING,Terjadwal
XII PPLG B,Senin,5,10.15-11.00,BINDO,Terjadwal
XII PPLG B,Senin,6,11.00-11.45,BINDO,Terjadwal
XII PPLG B,Senin,7,12.15-13.00,BJW,Terjadwal
XII PPLG B,Senin,8,13.00-13.45,BJW,Terjadwal
XII PPLG B,Senin,9,13.45-14.30,KOSONG,Kosong
XII PPLG B,Senin,10,14.30-15.15,KOSONG,Kosong
XII PPLG B,Senin,11,15.30-16.15,KOSONG,Kosong
XII PPLG B,Senin,12,16.15-17.00,KOSONG,Kosong
XII PPLG B,Selasa,1,07.00-07.45,MAT,Terjadwal
XII PPLG B,Selasa,2,07.45-08.30,MAT,Terjadwal
XII PPLG B,Selasa,3,08.30-09.15,PP,Terjadwal
XII PPLG B,Selasa,4,09.15-10.00,PP,Terjadwal
XII PPLG B,Selasa,5,10.15-11.00,MPP,Terjadwal
XII PPLG B,Selasa,6,11.00-11.45,MPP,Terjadwal
XII PPLG B,Selasa,7,12.15-13.00,MPP,Terjadwal
XII PPLG B,Selasa,8,13.00-13.45,MPP,Terjadwal
XII PPLG B,Selasa,9,13.45-14.30,PABP,Terjadwal
XII PPLG B,Selasa,10,14.30-15.15,PABP,Terjadwal
XII PPLG B,Selasa,11,15.30-16.15,KOSONG,Kosong
XII PPLG B,Selasa,12,16.15-17.00,KOSONG,Kosong
